"Pincode","Delhivery","Delhivery Limitation","Fedex","Fedex Limitation","Dotzot","Dotzot Limitation","DTDC","Indiapost","Pref 1","Pref 2","Pref 3","Pref 4","Pref 5"
"641603","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641604","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641605","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641606","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641607","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641608","Y","19999","Y","4999999","N","N","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641652","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"641654","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"342002","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"342004","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"342010","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620004","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620007","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620010","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620011","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620012","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620013","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620014","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620015","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620016","Y","19999","Y","4999999","N","N","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620019","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620020","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620021","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620022","Y","19999","Y","4999999","Y","24999","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620023","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"620024","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
