641004,Delhivery,19999,2
641004,Fedex,4999999,1
641004,Dotzot,24999,3
641004,DTDC,0,4
641004,Indiapost,0,5
641006,Delhivery,19999,2
641006,Fedex,4999999,1
641006,Dotzot,24999,3
641006,DTDC,0,4
641006,Indiapost,0,5
400601,Delhivery,19999,2
400601,Fedex,4999999,1
400601,Dotzot,24999,3
400601,DTDC,0,4
400601,Indiapost,0,5
400602,Delhivery,19999,2
400602,Fedex,4999999,1
400602,Dotzot,24999,3
400602,DTDC,0,4
400602,Indiapost,0,5
390003,Delhivery,19999,2
390003,Fedex,4999999,1
390003,Dotzot,24999,3
390003,Indiapost,0,5
390007,Delhivery,19999,2
390007,Fedex,4999999,1
390007,Dotzot,24999,3
390007,DTDC,0,4
390007,Indiapost,0,5
390005,Delhivery,19999,2
390005,Fedex,4999999,1
390005,Dotzot,24999,3
390005,DTDC,0,4
390005,Indiapost,0,5
712235,Delhivery,19999,2
712235,Dotzot,24999,3
712235,DTDC,0,4
712235,Indiapost,0,5
712258,Delhivery,19999,2
712258,Dotzot,24999,3
712258,DTDC,0,4
712258,Indiapost,0,5
208018,Delhivery,4998,1
208018,Dotzot,24999,4
208018,Indiapost,0,5
302014,Delhivery,19999,1
302014,Dotzot,24999,4
302014,DTDC,0,3
302014,Indiapost,0,5
711401,Delhivery,19999,2
711401,Dotzot,24999,3
711401,DTDC,0,4
711401,Indiapost,0,5
530021,Delhivery,19999,2
530021,Fedex,4999999,1
530021,Dotzot,24999,3
530021,DTDC,0,4
530021,Indiapost,0,5
530023,Delhivery,19999,2
530023,Fedex,4999999,1
530023,Dotzot,24999,3
530023,DTDC,0,4
530023,Indiapost,0,5
575009,Delhivery,19999,2
575009,Fedex,4999999,1
575009,Indiapost,0,5
575022,Delhivery,19999,2
575022,Fedex,4999999,1
575022,Indiapost,0,5
641009,Delhivery,19999,2
641009,Fedex,4999999,1
641009,Dotzot,24999,3
641009,DTDC,0,4
641009,Indiapost,0,5
641012,Delhivery,19999,2
641012,Fedex,4999999,1
641012,Dotzot,24999,3
641012,DTDC,0,4
641012,Indiapost,0,5
641014,Delhivery,19999,2
641014,Fedex,4999999,1
641014,Dotzot,24999,3
641014,DTDC,0,4
641014,Indiapost,0,5
641027,Delhivery,19999,2
641027,Fedex,4999999,1
641027,Dotzot,24999,3
641027,DTDC,0,4
641027,Indiapost,0,5
641035,Delhivery,19999,2
641035,Fedex,4999999,1
641035,Dotzot,24999,3
641035,DTDC,0,4
641035,Indiapost,0,5
641037,Delhivery,19999,2
641037,Fedex,4999999,1
641037,Dotzot,24999,3
641037,DTDC,0,4
641037,Indiapost,0,5
641044,Delhivery,19999,2
641044,Fedex,4999999,1
641044,Dotzot,24999,3
641044,DTDC,0,4
641044,Indiapost,0,5
641048,Delhivery,19999,2
641048,Fedex,4999999,1
641048,Dotzot,24999,3
641048,DTDC,0,4
641048,Indiapost,0,5
641062,Delhivery,19999,2
641062,Fedex,4999999,1
641062,Dotzot,24999,3
641062,DTDC,0,4
641062,Indiapost,0,5
500004,Delhivery,19999,2
500004,Fedex,4999999,0
500004,Dotzot,24999,4
500004,DTDC,0,3
500004,Indiapost,0,5
500028,Delhivery,19999,2
500028,Fedex,4999999,0
500028,Dotzot,24999,4
500028,DTDC,0,3
500028,Indiapost,0,5
500031,Delhivery,19999,2
500031,Fedex,4999999,0
500031,Dotzot,24999,4
500031,Indiapost,0,5
500057,Delhivery,19999,2
500057,Fedex,4999999,0
500057,Dotzot,24999,4
500057,DTDC,0,3
500057,Indiapost,0,5
500075,Delhivery,19999,2
500075,Fedex,4999999,0
500075,Dotzot,24999,4
500075,DTDC,0,3
500075,Indiapost,0,5
500085,Delhivery,19999,2
500085,Fedex,4999999,0
500085,Indiapost,0,5
390009,Delhivery,19999,2
390009,Fedex,4999999,1
390009,Dotzot,24999,3
390009,DTDC,0,4
390009,Indiapost,0,5
390010,Delhivery,19999,2
390010,Fedex,4999999,1
390010,Dotzot,24999,3
390010,DTDC,0,4
390010,Indiapost,0,5
390011,Delhivery,19999,2
390011,Fedex,4999999,1
390011,Dotzot,24999,3
390011,DTDC,0,4
390011,Indiapost,0,5
390012,Delhivery,19999,2
390012,Fedex,4999999,1
390012,Dotzot,24999,3
390012,DTDC,0,4
390012,Indiapost,0,5
390013,Delhivery,19999,2
390013,Fedex,4999999,1
390013,Dotzot,24999,3
390013,DTDC,0,4
390013,Indiapost,0,5
390014,Delhivery,19999,2
390014,Fedex,4999999,1
390014,Dotzot,24999,3
390014,DTDC,0,4
390014,Indiapost,0,5
390016,Delhivery,19999,2
390016,Fedex,4999999,1
390016,Dotzot,24999,3
390016,DTDC,0,4
390016,Indiapost,0,5
390020,Delhivery,19999,2
390020,Fedex,4999999,1
390020,Dotzot,24999,3
390020,DTDC,0,4
390020,Indiapost,0,5
390021,Delhivery,19999,2
390021,Fedex,4999999,1
390021,Dotzot,24999,3
390021,DTDC,0,4
390021,Indiapost,0,5
390023,Delhivery,19999,2
390023,Fedex,4999999,1
390023,Dotzot,24999,3
390023,DTDC,0,4
390023,Indiapost,0,5
560057,Delhivery,19999,2
560057,Fedex,4999999,0
560057,Dotzot,24999,4
560057,DTDC,0,3
560057,Indiapost,0,5
560058,Delhivery,19999,2
560058,Fedex,4999999,0
560058,Dotzot,24999,4
560058,DTDC,0,3
560058,Indiapost,0,5
110047,Delhivery,19999,1
110047,Fedex,4999999,3
110047,Dotzot,24999,4
110047,DTDC,0,2
110047,Indiapost,0,5
462018,Dotzot,24999,3
462018,Indiapost,0,5
110001,Delhivery,19999,1
110001,Fedex,4999999,3
110001,Dotzot,24999,4
110001,DTDC,0,2
110001,Indiapost,0,5
462002,Dotzot,24999,3
462002,DTDC,0,4
462002,Indiapost,0,5
462007,Dotzot,24999,3
462007,DTDC,0,4
462007,Indiapost,0,5
462011,Dotzot,24999,3
462011,DTDC,0,4
462011,Indiapost,0,5
462024,Dotzot,24999,3
462024,DTDC,0,4
462024,Indiapost,0,5
462027,Dotzot,24999,3
462027,Indiapost,0,5
462031,Dotzot,24999,3
462031,DTDC,0,4
462031,Indiapost,0,5
641601,Delhivery,19999,2
641601,Fedex,4999999,1
641601,Dotzot,24999,3
641601,DTDC,0,4
641601,Indiapost,0,5
641602,Delhivery,19999,2
641602,Fedex,4999999,1
641602,Dotzot,24999,3
641602,DTDC,0,4
641602,Indiapost,0,5
641603,Delhivery,19999,2
641603,Fedex,4999999,1
641603,Dotzot,24999,3
641603,DTDC,0,4
641603,Indiapost,0,5
641604,Delhivery,19999,2
641604,Fedex,4999999,1
641604,Dotzot,24999,3
641604,DTDC,0,4
641604,Indiapost,0,5
641605,Delhivery,19999,2
641605,Fedex,4999999,1
641605,Dotzot,24999,3
641605,DTDC,0,4
641605,Indiapost,0,5
641606,Delhivery,19999,2
641606,Fedex,4999999,1
641606,Dotzot,24999,3
641606,DTDC,0,4
641606,Indiapost,0,5
641607,Delhivery,19999,2
641607,Fedex,4999999,1
641607,Dotzot,24999,3
641607,DTDC,0,4
641607,Indiapost,0,5
641608,Delhivery,19999,2
641608,Fedex,4999999,1
641608,DTDC,0,4
641608,Indiapost,0,5
641652,Delhivery,19999,2
641652,Fedex,4999999,1
641652,Dotzot,24999,3
641652,DTDC,0,4
641652,Indiapost,0,5
641654,Delhivery,19999,2
641654,Fedex,4999999,1
641654,Dotzot,24999,3
641654,DTDC,0,4
641654,Indiapost,0,5
342002,Delhivery,19999,2
342002,Dotzot,24999,3
342002,DTDC,0,4
342002,Indiapost,0,5
342004,Delhivery,19999,2
342004,Dotzot,24999,3
342004,DTDC,0,4
342004,Indiapost,0,5
342010,Delhivery,19999,2
342010,Dotzot,24999,3
342010,DTDC,0,4
342010,Indiapost,0,5
620004,Delhivery,19999,2
620004,Fedex,4999999,1
620004,Dotzot,24999,3
620004,DTDC,0,4
620004,Indiapost,0,5
620007,Delhivery,19999,2
620007,Fedex,4999999,1
620007,Dotzot,24999,3
620007,DTDC,0,4
620007,Indiapost,0,5
620010,Delhivery,19999,2
620010,Fedex,4999999,1
620010,Dotzot,24999,3
620010,DTDC,0,4
620010,Indiapost,0,5
620011,Delhivery,19999,2
620011,Fedex,4999999,1
620011,Dotzot,24999,3
620011,DTDC,0,4
620011,Indiapost,0,5
620012,Delhivery,19999,2
620012,Fedex,4999999,1
620012,Dotzot,24999,3
620012,DTDC,0,4
620012,Indiapost,0,5
620013,Delhivery,19999,2
620013,Fedex,4999999,1
620013,Dotzot,24999,3
620013,DTDC,0,4
620013,Indiapost,0,5
620014,Delhivery,19999,2
620014,Fedex,4999999,1
620014,Dotzot,24999,3
620014,DTDC,0,4
620014,Indiapost,0,5
620015,Delhivery,19999,2
620015,Fedex,4999999,1
620015,Dotzot,24999,3
620015,DTDC,0,4
620015,Indiapost,0,5
620016,Delhivery,19999,2
620016,Fedex,4999999,1
620016,DTDC,0,4
620016,Indiapost,0,5
620019,Delhivery,19999,2
620019,Fedex,4999999,1
620019,Dotzot,24999,3
